title,location,type,area,bedrooms,bathrooms,yearBuilt,amenities,price
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,2492,1,1,1994,"Gym,Pool",832681
Premium Villa in Mumbai,"Mumbai, MH",Villa,3078,5,4,2007,"Garden,Pool,Gym,Security",3483875
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,4443,6,2,2017,"Security,Gym",1535912
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,4524,5,2,1984,"Gym,Parking,Pool,Security,Garden",3300298
Premium Villa in Kolkata,"Kolkata, WB",Villa,2562,3,1,2006,Pool,1270250
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,4629,3,2,2007,"Security,Gym,Parking,Pool",1453605
Premium Townhouse in Pune,"Pune, MH",Townhouse,692,6,3,1999,"Gym,WiFi,Pool,Security,Parking",552744
Premium Apartment in Delhi,"Delhi, DL",Apartment,2212,3,2,1999,"WiFi,Pool,Security",1460328
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,4362,2,2,1984,"WiFi,Pool,Security,Parking",5539092
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,3685,2,4,1989,"Security,Parking",2155306
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,2513,4,1,2015,"Parking,Pool,Garden,WiFi,Gym",976872
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,1837,6,3,1980,"Pool,Garden",1254292
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,2304,6,4,1988,"Pool,Garden,Gym",1043729
Premium Apartment in Pune,"Pune, MH",Apartment,4613,4,1,2007,WiFi,1719613
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,1287,2,1,2017,"WiFi,Pool,Gym",520967
Premium Condo in Bangalore,"Bangalore, KA",Condo,1454,4,4,2001,Garden,1087711
Premium Villa in Kolkata,"Kolkata, WB",Villa,3879,3,4,1985,"Garden,Security,WiFi",2174010
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,1826,1,4,2018,WiFi,1303565
Premium Condo in Delhi,"Delhi, DL",Condo,2148,3,3,2015,"Security,Garden,Parking,Pool,WiFi",1443758
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,4837,2,2,1996,"Security,WiFi",2228396
Premium Penthouse in Pune,"Pune, MH",Penthouse,4894,2,4,1990,"WiFi,Security,Gym",3591335
Premium Condo in Mumbai,"Mumbai, MH",Condo,508,6,2,2018,"Gym,Pool,Security,Garden,Parking",997938
Premium Villa in Pune,"Pune, MH",Villa,3111,4,1,1985,"WiFi,Gym,Parking,Garden",1749921
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,4179,6,1,1983,Parking,2500853
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,1954,3,1,1990,"Security,WiFi,Garden,Gym",798804
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,4569,4,2,1988,"Gym,Parking,Pool,WiFi,Garden",4968884
Premium Apartment in Delhi,"Delhi, DL",Apartment,1696,6,3,2021,"Security,Parking,WiFi,Gym,Pool",1410771
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,4056,2,3,2005,Gym,2592746
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,2458,6,2,1990,"Security,Parking,Gym,WiFi",1046575
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,4855,6,2,1993,"Parking,Security,Garden",1781078
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,1090,3,3,1999,"Pool,Security,Gym",563266
Premium Condo in Bangalore,"Bangalore, KA",Condo,4620,5,3,1991,"WiFi,Pool,Parking,Security",2575265
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,1920,5,2,1982,"WiFi,Gym,Parking,Pool",875253
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,4602,2,2,1988,"WiFi,Parking",1565066
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,2045,4,1,2020,"Gym,Parking,Security,Pool,WiFi",1822907
Premium Apartment in Delhi,"Delhi, DL",Apartment,1067,1,1,2002,"Security,Pool,WiFi",760204
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,4714,5,1,1980,"Garden,Security,Pool",1722675
Premium Penthouse in Pune,"Pune, MH",Penthouse,2380,5,2,1991,"Gym,Garden,Pool,WiFi,Security",2050496
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,789,3,4,2010,"Garden,WiFi,Gym",506651
Premium Villa in Pune,"Pune, MH",Villa,4123,1,4,1984,"Pool,Security,Garden,Gym",2252362
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,4663,6,2,1989,Pool,4969484
Premium Condo in Chennai,"Chennai, TN",Condo,2176,1,3,2012,"WiFi,Parking",738332
Premium Villa in Chennai,"Chennai, TN",Villa,3777,5,1,1996,"WiFi,Garden",2218733
Premium Villa in Pune,"Pune, MH",Villa,2599,6,2,2005,"WiFi,Parking,Garden,Security,Pool",1687019
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,3538,6,3,2009,"Security,WiFi,Garden",1490759
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,1807,6,1,2022,"Gym,Garden,WiFi,Pool",1859868
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,1217,3,4,1981,"Parking,Gym,Pool,Security,Garden",606211
Premium Condo in Pune,"Pune, MH",Condo,2250,3,4,2009,"Pool,WiFi,Garden,Security,Gym",861391
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,4326,2,2,1998,"Parking,Pool,Security,WiFi,Garden",1351947
Premium Apartment in Chennai,"Chennai, TN",Apartment,2476,6,1,2013,"Pool,Parking",1160859
Premium Penthouse in Hyderabad,"Hyderabad, TS",Penthouse,3840,3,1,2008,"Pool,Gym,Parking",2772811
Premium Townhouse in Pune,"Pune, MH",Townhouse,2456,3,3,1983,Security,1009854
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,1974,5,4,1981,"Gym,Security,Pool",3658411
Premium Villa in Chennai,"Chennai, TN",Villa,2173,4,1,1987,"Pool,Security,Gym,Parking",1288683
Premium Villa in Kolkata,"Kolkata, WB",Villa,1234,2,4,2021,"Security,Parking,WiFi",748978
Premium Villa in Bangalore,"Bangalore, KA",Villa,3382,2,4,1980,"Security,Parking",2918276
Premium Villa in Delhi,"Delhi, DL",Villa,3879,3,1,2010,WiFi,3721630
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,3531,1,2,2005,Security,1063614
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,2352,5,2,2010,"Security,Gym",1344889
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,3479,2,2,2008,Gym,1135354
Premium Villa in Bangalore,"Bangalore, KA",Villa,1296,1,4,1996,"Parking,Gym",1083431
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,2025,4,1,1982,"WiFi,Security",1353759
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,2325,1,3,2018,Security,822321
Premium Apartment in Mumbai,"Mumbai, MH",Apartment,2359,2,1,1987,"WiFi,Security,Garden,Pool,Parking",1635876
Premium Villa in Kolkata,"Kolkata, WB",Villa,1950,3,4,1994,Parking,1150265
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,4594,3,1,2024,"Garden,Security,Gym,Parking",1451135
Premium Condo in Pune,"Pune, MH",Condo,1780,1,4,2005,"WiFi,Garden,Parking,Gym,Security",729710
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,4101,6,3,2019,"WiFi,Garden,Parking,Pool",1535996
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,4136,4,3,2002,Security,2063066
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,3388,5,3,2023,Pool,2086435
Premium Apartment in Pune,"Pune, MH",Apartment,3449,3,2,1996,"WiFi,Pool,Security,Parking",1239767
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,857,6,3,2010,"WiFi,Parking",601671
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,2699,3,3,1987,"Gym,Garden,Pool,Security,Parking",3711577
Premium Condo in Pune,"Pune, MH",Condo,2085,4,3,1992,"Security,Pool,Parking",850188
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,4843,3,2,2020,WiFi,3040798
Premium Condo in Chennai,"Chennai, TN",Condo,1302,4,1,1986,"Garden,Parking",592125
Premium Condo in Pune,"Pune, MH",Condo,4656,1,4,1994,"Garden,WiFi,Pool",1383585
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,4989,1,2,2014,"Security,Gym,Pool,Garden",2383409
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,1590,3,1,1980,"Security,Pool,Garden,Gym,WiFi",1979690
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,2096,4,2,1991,"Garden,Gym,Security",909778
Premium Apartment in Chennai,"Chennai, TN",Apartment,3931,5,2,1996,"Pool,WiFi,Garden,Parking",1586728
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,2463,2,3,2013,"Garden,Pool,Security,Gym",825540
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,4638,6,1,2018,"Security,Pool,Garden,Parking",7506538
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,937,3,2,2010,"Security,Gym,Garden,Pool",996055
Premium Condo in Chennai,"Chennai, TN",Condo,3079,2,4,2001,"Gym,Parking,Garden,Pool,Security",1135910
Premium Villa in Mumbai,"Mumbai, MH",Villa,4287,6,2,2003,"Pool,WiFi,Parking,Security",4970379
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,1562,5,3,1983,"Garden,Parking,Gym",1695646
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,1843,6,3,2000,"Pool,WiFi,Gym",917377
Premium Condo in Pune,"Pune, MH",Condo,2619,4,2,2021,"Pool,WiFi,Gym,Garden",970597
Premium Apartment in Chennai,"Chennai, TN",Apartment,1538,6,1,1997,"Security,Gym",789872
Premium Penthouse in Hyderabad,"Hyderabad, TS",Penthouse,1155,5,4,2010,"WiFi,Parking",1229526
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,1182,5,3,1982,"Security,Pool,Gym,WiFi",674183
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,3578,5,4,1997,"Security,Parking",2049401
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,3027,6,1,1999,Parking,1184602
Premium Villa in Pune,"Pune, MH",Villa,4217,5,2,1997,"Pool,Security,Garden",2518603
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,1055,6,1,1998,"Parking,Garden,Gym,Pool",1079828
Premium Penthouse in Pune,"Pune, MH",Penthouse,2422,6,2,2014,"Pool,WiFi,Gym,Parking,Security",2196336
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,4608,1,1,1987,Pool,1480004
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,3325,4,4,2001,Parking,1298514
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,2391,4,1,1987,WiFi,911507
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,4715,1,1,2023,"WiFi,Pool",2367014
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,4571,3,2,2007,"Pool,Gym,Garden,Parking,Security",3096259
Premium Townhouse in Pune,"Pune, MH",Townhouse,926,4,3,1993,"Parking,WiFi,Security,Pool",578059
Premium Condo in Bangalore,"Bangalore, KA",Condo,3407,1,3,2016,"WiFi,Pool,Security",1830654
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,3157,6,3,2015,"Security,WiFi,Garden",1352835
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,3534,5,1,2009,"WiFi,Garden,Parking,Security",2703208
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,1933,3,2,2015,WiFi,1123556
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,3473,3,3,2007,"Pool,Parking,WiFi,Gym,Security",2507133
Premium Apartment in Mumbai,"Mumbai, MH",Apartment,1659,3,4,1997,"Garden,Gym",1352124
Premium Townhouse in Pune,"Pune, MH",Townhouse,1653,2,1,2004,"Security,Gym",592140
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,2703,5,1,2008,"Pool,Security,WiFi",2266725
Premium Villa in Chennai,"Chennai, TN",Villa,4388,6,3,1997,"Pool,Parking,Security,WiFi",2547584
Premium Villa in Delhi,"Delhi, DL",Villa,3071,4,3,1996,WiFi,2944744
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,2995,1,4,2006,"Parking,Pool",1694524
Premium Villa in Delhi,"Delhi, DL",Villa,4405,4,4,2005,Garden,4236215
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,1185,5,1,1990,"Security,Gym,Garden,WiFi",1022814
Premium Villa in Mumbai,"Mumbai, MH",Villa,4524,3,1,1981,"Gym,WiFi",4724241
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,1846,6,3,2012,"Pool,Security,Parking",1862126
Premium Apartment in Pune,"Pune, MH",Apartment,3359,1,4,2018,Gym,1177901
Premium Villa in Delhi,"Delhi, DL",Villa,1893,6,3,1990,"Pool,WiFi",2575303
Premium Villa in Mumbai,"Mumbai, MH",Villa,827,1,2,1982,Security,964551
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,3233,5,1,2021,"Gym,Garden,Pool,Parking",2428353
Premium Apartment in Delhi,"Delhi, DL",Apartment,3454,3,3,2019,Pool,2402284
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,1872,1,3,2022,"Pool,Security,WiFi",683883
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,2999,1,2,2001,"Gym,Security",1035122
Premium Condo in Chennai,"Chennai, TN",Condo,4595,3,3,2021,"Gym,Garden,WiFi",1741556
Premium Apartment in Delhi,"Delhi, DL",Apartment,3962,5,1,1985,Security,2791470
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,1660,5,3,1981,"Parking,Security",821809
Premium Condo in Bangalore,"Bangalore, KA",Condo,4044,3,1,2008,"Parking,Gym",2148017
Premium Apartment in Pune,"Pune, MH",Apartment,3781,3,1,2018,"WiFi,Gym,Pool,Security,Garden",1209353
Premium Apartment in Chennai,"Chennai, TN",Apartment,1168,2,4,2005,"Gym,Security,WiFi,Pool,Garden",497954
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,4713,2,1,2011,"Pool,Security,Parking",4333108
Premium Penthouse in Hyderabad,"Hyderabad, TS",Penthouse,1313,4,1,1989,"Security,Gym,WiFi",1273700
Premium Condo in Delhi,"Delhi, DL",Condo,2518,4,1,2012,Gym,1794447
Premium Apartment in Delhi,"Delhi, DL",Apartment,3844,6,3,2011,"Gym,Parking",2867916
Premium Villa in Delhi,"Delhi, DL",Villa,1172,3,2,1981,"Garden,Pool,WiFi,Security",1421389
Premium Apartment in Delhi,"Delhi, DL",Apartment,1366,1,4,2000,"Pool,Parking,WiFi,Gym,Garden",953049
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,4861,1,1,1989,"Parking,WiFi,Garden,Security,Pool",2194279
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,534,6,2,1999,"Parking,Gym,Security,Garden",821214
Premium Condo in Delhi,"Delhi, DL",Condo,3094,3,3,2013,"Gym,WiFi,Pool",2250858
Premium Villa in Pune,"Pune, MH",Villa,3533,5,2,2005,"Security,Parking,Gym,Pool",1920282
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,3773,2,3,1988,"Gym,Security,Garden,WiFi,Parking",1265284
Premium Villa in Chennai,"Chennai, TN",Villa,3270,3,2,1998,"Parking,Garden,Gym,Security",1718875
Premium Apartment in Pune,"Pune, MH",Apartment,4480,1,3,2019,"Parking,Gym,Security",1340706
Premium Penthouse in Kolkata,"Kolkata, WB",Penthouse,3771,6,4,1998,"Garden,WiFi,Pool,Security",2949949
Premium Townhouse in Pune,"Pune, MH",Townhouse,2767,1,2,2000,"Gym,WiFi,Security,Parking,Pool",933548
Premium Apartment in Delhi,"Delhi, DL",Apartment,3463,5,1,1987,"Gym,Pool,WiFi,Security,Garden",2504964
Premium Villa in Bangalore,"Bangalore, KA",Villa,4156,3,2,1989,"Parking,WiFi,Security,Garden",3107785
Premium Condo in Delhi,"Delhi, DL",Condo,4137,3,3,2003,Parking,2494660
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,3476,3,2,2004,"Parking,Security,Garden,WiFi,Pool",1234816
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,4322,2,1,2019,"Gym,Pool,WiFi,Parking",1526324
Premium Condo in Delhi,"Delhi, DL",Condo,2065,3,1,1991,"Garden,WiFi,Security",1297866
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,1421,6,4,2017,"WiFi,Security,Gym",831622
Premium Apartment in Ahmedabad,"Ahmedabad, GJ",Apartment,3482,2,4,2003,"Pool,Gym,WiFi,Garden,Security",1248889
Premium Penthouse in Kolkata,"Kolkata, WB",Penthouse,2760,1,2,2021,"WiFi,Gym,Security,Garden",1725199
Premium Villa in Mumbai,"Mumbai, MH",Villa,3024,1,3,2016,"Garden,Parking",3176801
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,1423,4,3,2024,"Gym,Security",1186833
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,1990,3,3,1995,"Gym,Garden,WiFi,Parking,Pool",726454
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,2561,2,3,2012,"Parking,WiFi,Garden,Pool",3727750
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,2531,3,1,2019,Security,1011612
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,4362,4,1,1999,"Garden,Gym",2957083
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,603,1,2,2012,"WiFi,Parking",438121
Premium Villa in Kolkata,"Kolkata, WB",Villa,4971,1,2,1988,WiFi,2214864
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,917,4,1,1990,"Parking,Garden,Security,WiFi",487802
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,3264,1,4,1996,"Pool,Security,Gym,Parking,Garden",2262531
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,2325,4,3,2007,"Gym,Garden,WiFi,Parking,Pool",992263
Premium Villa in Chennai,"Chennai, TN",Villa,3105,2,1,2004,Security,1624806
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,2711,3,3,1985,Pool,1005350
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,3451,3,3,2018,"Security,Pool",1883852
Premium Condo in Bangalore,"Bangalore, KA",Condo,786,6,4,1987,Pool,840219
Premium Villa in Chennai,"Chennai, TN",Villa,1691,5,2,2011,"Security,Gym,Parking,WiFi",1133318
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,4384,3,3,2009,"Garden,Security,Parking,WiFi,Gym",1404196
Premium Apartment in Chennai,"Chennai, TN",Apartment,4239,3,2,1993,"Security,Parking,Gym,Garden,WiFi",1352825
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,3348,6,2,2006,"WiFi,Security,Gym,Pool,Garden",1258040
Premium Townhouse in Pune,"Pune, MH",Townhouse,3031,3,4,2007,"WiFi,Parking,Pool,Garden",1113983
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,4720,6,1,2012,"Gym,Security,Garden,Parking,WiFi",3415018
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,785,5,4,1984,"WiFi,Pool,Parking,Garden",613485
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,4464,5,1,1993,Parking,1704806
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,711,3,1,1997,"Gym,Parking,WiFi,Security,Pool",559574
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,4121,2,1,2016,"WiFi,Security",2463732
Premium Villa in Chennai,"Chennai, TN",Villa,2383,5,3,2007,"Security,Gym,WiFi",1544177
Premium Penthouse in Pune,"Pune, MH",Penthouse,4041,1,4,1991,"Parking,Gym,Garden,Pool,Security",2628027
Premium Apartment in Delhi,"Delhi, DL",Apartment,4312,6,4,2009,"WiFi,Parking",3072267
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,931,1,4,2000,"Security,Garden,Gym",846998
Premium Villa in Chennai,"Chennai, TN",Villa,986,3,2,2004,"Security,Pool",715354
Premium Villa in Chennai,"Chennai, TN",Villa,3630,6,2,1992,"Garden,Gym,Pool",2055775
Premium Penthouse in Kolkata,"Kolkata, WB",Penthouse,1332,2,4,2010,Security,1064183
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,4497,6,3,1997,"Parking,Gym",7050420
Premium Condo in Bangalore,"Bangalore, KA",Condo,2215,6,3,1988,"Pool,WiFi,Garden",1573195
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,2164,6,2,2010,"Parking,Garden,Security,Gym,WiFi",963587
Premium Villa in Bangalore,"Bangalore, KA",Villa,1173,1,2,1990,"Parking,Pool,WiFi",959228
Premium Villa in Mumbai,"Mumbai, MH",Villa,4729,3,2,1997,"Security,Gym,WiFi,Pool,Garden",5052162
Premium Villa in Delhi,"Delhi, DL",Villa,582,6,3,1995,"Parking,Garden",1400486
Premium Condo in Kolkata,"Kolkata, WB",Condo,2604,3,3,1991,"Gym,WiFi,Security",944098
Premium Villa in Pune,"Pune, MH",Villa,815,2,3,2024,"Pool,WiFi,Parking",547845
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,3746,6,2,2007,"Pool,WiFi,Security,Garden",1413305
Premium Townhouse in Hyderabad,"Hyderabad, TS",Townhouse,3703,2,1,2000,"Security,Garden,WiFi,Pool,Gym",1181946
Premium Villa in Bangalore,"Bangalore, KA",Villa,3585,4,4,2006,"Parking,Security,Gym",2986993
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,2683,6,1,2001,"Security,Gym,Parking",1235985
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,4965,3,1,1980,Security,3458993
Premium Condo in Pune,"Pune, MH",Condo,1046,3,4,1985,"Garden,WiFi,Security",549086
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,4546,4,3,1991,"Gym,Parking,Security",3541123
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,2231,4,2,2005,"Garden,WiFi,Parking,Gym,Pool",2566090
Premium Penthouse in Hyderabad,"Hyderabad, TS",Penthouse,500,6,4,2019,"Garden,Pool,Security,Gym",1140655
Premium Villa in Delhi,"Delhi, DL",Villa,4054,4,2,2011,"Gym,Security,Pool,Parking",4018967
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,3216,5,4,2022,Gym,3534204
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,2342,4,4,2018,"Gym,Pool,Parking",1608367
Premium Townhouse in Kolkata,"Kolkata, WB",Townhouse,2268,3,4,1998,"Garden,Security,WiFi,Parking",934595
Premium Penthouse in Delhi,"Delhi, DL",Penthouse,2048,6,1,2021,"Security,Parking,WiFi",3074220
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,3549,1,3,2000,"Gym,Pool,WiFi,Garden",1217502
Premium Condo in Kolkata,"Kolkata, WB",Condo,1260,2,1,1981,"Gym,Garden",511585
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,1536,3,1,1981,"Garden,Parking,Gym",2300879
Premium Apartment in Delhi,"Delhi, DL",Apartment,675,2,1,2007,"Parking,Pool",558343
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,1870,5,1,2000,"Pool,Gym,Parking",850670
Premium Villa in Delhi,"Delhi, DL",Villa,581,2,4,1994,Parking,931511
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,1227,1,1,2011,"Pool,Gym,Parking,WiFi",605840
Premium Condo in Mumbai,"Mumbai, MH",Condo,1194,5,1,2000,"Security,WiFi,Parking,Pool,Gym",1165173
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,858,6,2,2008,Garden,1217338
Premium Townhouse in Pune,"Pune, MH",Townhouse,1955,5,2,2020,"Parking,Gym,Pool,Garden",832997
Premium Condo in Ahmedabad,"Ahmedabad, GJ",Condo,1596,1,4,2017,"Pool,WiFi,Gym,Security",655109
Premium Townhouse in Delhi,"Delhi, DL",Townhouse,4261,1,1,2024,Gym,2287318
Premium Apartment in Pune,"Pune, MH",Apartment,4858,4,1,1995,WiFi,1765899
Premium Villa in Delhi,"Delhi, DL",Villa,3750,4,3,2010,WiFi,3368552
Premium Condo in Chennai,"Chennai, TN",Condo,4187,6,3,1983,"WiFi,Gym,Security",1700472
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,1985,5,2,2012,"Garden,Pool",816736
Premium Condo in Bangalore,"Bangalore, KA",Condo,4674,6,4,2022,"Garden,Pool,Security",2700481
Premium Penthouse in Bangalore,"Bangalore, KA",Penthouse,4724,1,2,2005,"Security,Parking",4119104
Premium Townhouse in Mumbai,"Mumbai, MH",Townhouse,4324,6,2,2000,"Security,Parking,Garden,Gym,WiFi",3297488
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,2842,6,4,2015,"WiFi,Gym,Garden",1979719
Premium Villa in Ahmedabad,"Ahmedabad, GJ",Villa,3184,2,2,2008,"Pool,Garden,Security",1574175
Premium Penthouse in Ahmedabad,"Ahmedabad, GJ",Penthouse,692,6,1,1994,"WiFi,Gym",1017291
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,3950,4,1,1993,Pool,1267233
Premium Townhouse in Ahmedabad,"Ahmedabad, GJ",Townhouse,3203,5,4,1990,Parking,1301986
Premium Penthouse in Kolkata,"Kolkata, WB",Penthouse,2573,1,4,1997,"Garden,Pool,Security,Gym",1943624
Premium Villa in Delhi,"Delhi, DL",Villa,3221,5,4,2011,"WiFi,Parking,Security",3176377
Premium Apartment in Hyderabad,"Hyderabad, TS",Apartment,3393,4,3,2004,"Security,Parking",1399227
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,2969,1,2,2003,"Gym,Security",1458365
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,2506,4,4,1989,"Parking,Security,WiFi",1029996
Premium Condo in Bangalore,"Bangalore, KA",Condo,3199,3,3,1994,Parking,1758349
Premium Penthouse in Pune,"Pune, MH",Penthouse,3526,1,1,2016,"WiFi,Parking,Gym,Security",2473093
Premium Villa in Kolkata,"Kolkata, WB",Villa,4983,4,3,1994,"Gym,Garden,Pool",2380173
Premium Villa in Delhi,"Delhi, DL",Villa,842,6,4,1993,"Security,Gym,Garden,Pool,Parking",1616206
Premium Apartment in Delhi,"Delhi, DL",Apartment,3380,2,4,1982,"Security,Pool,Gym",2094399
Premium Townhouse in Pune,"Pune, MH",Townhouse,2950,2,1,2004,"Parking,Garden,WiFi,Pool",1047628
Premium Villa in Mumbai,"Mumbai, MH",Villa,2886,4,3,1996,"Parking,Garden,WiFi,Gym,Pool",3210664
Premium Condo in Chennai,"Chennai, TN",Condo,3417,1,2,2015,"Parking,Garden,WiFi,Security",1215375
Premium Villa in Mumbai,"Mumbai, MH",Villa,4610,5,3,2016,"WiFi,Garden,Pool",5130051
Premium Apartment in Delhi,"Delhi, DL",Apartment,3242,1,4,2023,"Parking,Pool,Gym",2054947
Premium Villa in Delhi,"Delhi, DL",Villa,1765,3,2,2014,Pool,2040057
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,1727,5,2,1984,"Security,Pool,Garden,Parking",1302272
Premium Condo in Chennai,"Chennai, TN",Condo,3193,5,4,1981,Parking,1360736
